Appliances,lights,T_in,RH_in,T_out,RH_out,Windspeed
60,30,19.89,47.59666667,6.60E+00,92,7
60,30,19.89,46.69333333,6.48E+00,92,6.666666667
50,30,19.89,46.3,6.37E+00,92,6.333333333
50,40,19.89,46.06666667,6.25E+00,92,6
60,40,19.89,46.33333333,6.13E+00,92,5.666666667
50,40,19.89,46.02666667,6.02E+00,92,5.333333333
60,50,19.89,45.76666667,5.90E+00,92,5
60,50,19.85666667,45.56,5.92E+00,91.83333333,5.166666667
60,40,19.79,45.5975,5.93E+00,91.66666667,5.333333333
70,40,19.85666667,46.09,5.95E+00,91.5,5.5
230,70,19.92666667,45.86333333,5.97E+00,91.33333333,5.666666667
580,60,20.06666667,46.39666667,5.98E+00,91.16666667,5.833333333
430,50,20.13333333,48,6.00E+00,91,6
250,40,20.26,52.72666667,6.00E+00,90.5,6
100,10,20.42666667,55.89333333,6.00E+00,90,6
100,10,20.56666667,53.89333333,6.00E+00,89.5,6
90,10,20.73,52.66,6.00E+00,89,6
70,30,20.85666667,53.66,6.00E+00,88.5,6
80,30,20.89,51.19333333,6.00E+00,88,6
140,40,20.89,49.8,6.00E+00,87.83333333,6
120,20,20.89,48.43333333,6.00E+00,87.66666667,6
190,40,20.96333333,47.63333333,6.00E+00,87.5,6
110,40,21.03333333,47.06333333,6.00E+00,87.33333333,6
110,40,21.1,46.59666667,6.00E+00,87.16666667,6
110,30,21.13333333,46.06,6.00E+00,87,6
110,20,21.2,45.8,5.93E+00,87.16666667,6
100,30,21.29,45.9,5.87E+00,87.33333333,6
100,20,21.35666667,45.82666667,5.80E+00,87.5,6
100,20,21.39,45.69,5.73E+00,87.66666667,6
100,20,21.5,45.33333333,5.67E+00,87.83333333,6
110,20,21.5,45.12666667,5.60E+00,88,6
400,20,21.53333333,44.96666667,5.65E+00,87.83333333,6.166666667
400,20,21.6,44.76666667,5.70E+00,87.66666667,6.333333333
390,30,21.6,44.56,5.75E+00,87.5,6.5
240,20,21.6,44.36,5.80E+00,87.33333333,6.666666667
60,20,21.6,44.2,5.85E+00,87.16666667,6.833333333
60,20,21.6,44.2,5.90E+00,87,7
60,20,21.6,44.2,5.80E+00,87.83333333,6.833333333
50,10,21.6,44.2,5.70E+00,88.66666667,6.666666667
70,20,21.5,44.23,5.60E+00,89.5,6.5
60,20,21.5,44.36333333,5.50E+00,90.33333333,6.333333333
40,20,21.39,44.43333333,5.40E+00,91.16666667,6.166666667
40,10,21.39,44.56,5.30E+00,92,6
30,20,21.29,44.82666667,5.27E+00,92,6
40,20,21.29,44.96666667,5.23E+00,92,6
50,20,21.26,45.09,5.20E+00,92,6
310,10,21.2,45.09,5.17E+00,92,6
380,20,21.16666667,45.23,5.13E+00,92,6
380,20,21.075,45.3725,5.10E+00,92,6
370,20,21,45.4,5.12E+00,92,5.833333333
120,10,21,45.59,5.13E+00,92,5.666666667
50,0,20.92666667,45.59,5.15E+00,92,5.5
40,0,20.89,45.66666667,5.17E+00,92,5.333333333
50,0,20.89,46.06,5.18E+00,92,5.166666667
40,0,20.79,46.2,5.20E+00,92,5
50,0,20.79,46.2,5.13E+00,92,4.833333333
50,0,20.7,46.26,5.07E+00,92,4.666666667
50,0,20.7,46.2,5.00E+00,92,4.5
40,0,20.6,46.2,4.93E+00,92,4.333333333
40,0,20.6,46.12666667,4.87E+00,92,4.166666667
30,0,20.56666667,46.06666667,4.80E+00,92,4
20,0,20.5,46.2,4.82E+00,92.16666667,4.333333333
20,0,20.5,46.29,4.83E+00,92.33333333,4.666666667
40,0,20.42666667,46.23,4.85E+00,92.5,5
50,0,20.39,46.29,4.87E+00,92.66666667,5.333333333
50,0,20.39,46.36333333,4.88E+00,92.83333333,5.666666667
40,0,20.29,46.5,4.90E+00,93,6
50,0,20.29,46.545,4.92E+00,92.66666667,5.833333333
40,0,20.23,46.5,4.93E+00,92.33333333,5.666666667
40,0,20.2,46.43333333,4.95E+00,92,5.5
40,0,20.2,46.56,4.97E+00,91.66666667,5.333333333
60,0,20.16666667,46.36333333,4.98E+00,91.33333333,5.166666667
50,0,20.1,46.36333333,5.00E+00,91,5
50,0,20.1,46.5,4.98E+00,91.66666667,4.833333333
40,0,20.03333333,46.36,4.97E+00,92.33333333,4.666666667
40,0,20,46.29,4.95E+00,93,4.5
